date_year,date_month,date,price
2017,3,201703,103500
2017,3,201703,128000
2017,3,201703,105000
2017,3,201703,118000
2017,3,201703,124000
2017,3,201703,104000
2017,3,201703,95000
2017,3,201703,114500
2017,3,201703,137000
2017,3,201703,89970
2017,3,201703,101400
2017,3,201703,117000
2017,3,201703,89500
2017,3,201703,103000
2017,3,201703,109000
2017,3,201703,93000
2017,3,201703,87000
2017,3,201703,92000
2017,3,201703,92300
2017,3,201703,93000
2017,3,201703,94500
2017,3,201703,92500
2017,3,201703,103500
2017,3,201703,93000
2017,3,201703,92200
2017,3,201703,70000
2017,3,201703,57500
2017,3,201703,72000
2017,3,201703,65500
2017,3,201703,69900
2017,3,201703,51000
2017,3,201703,72000
2017,3,201703,60000
2017,3,201703,66000
2017,3,201703,51500
2017,3,201703,70000
2017,3,201703,71000
2017,3,201703,65000
2017,3,201703,85000
2017,3,201703,83000
2017,3,201703,67000
2017,3,201703,67000
2017,3,201703,40000
2017,3,201703,49700
2017,3,201703,21900
2017,3,201703,28800
2017,3,201703,23000
2017,3,201703,21900
2017,3,201703,27500
2017,3,201703,28300
2017,3,201703,59695
2017,3,201703,32500
2017,3,201703,87000
2017,3,201703,93000
2017,3,201703,32000
2017,3,201703,23500
2017,3,201703,76500
2017,3,201703,30000
2017,3,201703,33300
2017,3,201703,47750
2017,3,201703,34000
2017,3,201703,34000
2017,3,201703,50000
2017,3,201703,48500
2017,3,201703,75000
2017,3,201703,88000
2017,3,201703,73000
2017,3,201703,90000
2017,3,201703,76000
2017,3,201703,81500
2017,3,201703,75000
2017,3,201703,61000
2017,3,201703,67900
2017,3,201703,68500
2017,3,201703,65500
2017,3,201703,71300
2017,3,201703,70000
2017,3,201703,65000
2017,3,201703,65500
2017,3,201703,110000
2017,3,201703,89700
2017,3,201703,89000
2017,3,201703,94000
2017,3,201703,93000
2017,3,201703,57500
2017,3,201703,27500
2017,3,201703,80000
2017,3,201703,88000
2017,3,201703,87000
2017,3,201703,89500
2017,3,201703,28200
2017,3,201703,28250
2017,3,201703,45000
2017,3,201703,45000
2017,3,201703,54000
2017,3,201703,45000
2017,3,201703,75000
2017,3,201703,31750
2017,3,201703,23000
2017,3,201703,48000
2017,3,201703,115000
2017,2,201702,100000
2017,2,201702,90000
2017,2,201702,86500
2017,2,201702,86500
2017,2,201702,127000
2017,2,201702,108000
2017,2,201702,115000
2017,2,201702,107500
2017,2,201702,136000
2017,2,201702,104800
2017,2,201702,103000
2017,2,201702,141000
2017,2,201702,105000
2017,2,201702,117000
2017,2,201702,88000
2017,2,201702,97000
2017,2,201702,138500
2017,2,201702,117000
2017,2,201702,138000
2017,2,201702,123000
2017,2,201702,105500
2017,2,201702,89000
2017,2,201702,142000
2017,2,201702,90000
2017,2,201702,104500
2017,2,201702,130000
2017,2,201702,105000
2017,2,201702,96000
2017,2,201702,104000
2017,2,201702,90000
2017,2,201702,90000
2017,2,201702,89500
2017,2,201702,89700
2017,2,201702,89700
