Year,Goods,Sub,Origin
2015-01-01,26346,567,26913
2015-02-01,23332,516,23848
2015-03-01,26794,387,27181
2015-04-01,24453,537,24990
2015-05-01,25501,555,26056
2015-06-01,24101,513,24614
2015-07-01,24190,537,24727
2015-08-01,23269,882,24151
2015-09-01,22834,591,23425
2015-10-01,22961,516,23477
2015-11-01,21340,582,21922
2015-12-01,21631,489,22120
2016-01-01,21161,528,21689
2016-02-01,20850,489,21339
2016-03-01,23425,534,23959
2016-04-01,21409,510,21919
2016-05-01,21276,726,22002
2016-06-01,20519,492,21011
2016-07-01,23183,546,23729
2016-08-01,23519,555,24074
2016-09-01,22920,435,23355
2016-10-01,22844,516,23360
2016-11-01,21415,594,22009
2016-12-01,21759,564,22323
2017-01-01,21857,330,22187
2017-02-01,19721,564,20285
2017-03-01,23195,645,23840
2017-04-01,21370,552,21922
2017-05-01,21881,591,22472
2017-06-01,21833,540,22373
2017-07-01,23714,486,24200
2017-08-01,23220,534,23754
2017-09-01,21900,588,22488
2017-10-01,22774,618,23392
2017-11-01,20679,630,21309
2017-12-01,21603,220,21823
2018-01-01,21198,600,21798
2018-02-01,19620,630,20250
2018-03-01,22083,591,22674
2018-04-01,20268,597,20865
2018-05-01,21393,618,22011
