user_id,age,house_type,resident,job,house_type2,식표품(1),생필품(2),의류(3),잡화(4),기타(5),현금(1),직불카드(2),신용카드(3),상품권(4),총구매금액
1001,35,4,전북,6,1,153000,0,0,0,0,1,0,0,0,153000
1002,45,4,경남,2,1,0,120000,0,0,0,0,1,0,0,120000
1003,55,4,경기,6,1,125000,0,780000,123000,79000,0,0,4,0,1107000
1004,43,3,대전,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,55,4,경기,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,45,1,대구,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,39,4,경남,1,1,0,150000,78879,81980,71773,0,4,0,0,382632
1008,55,2,경기,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,33,4,인천,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,55,3,서울,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,66,4,서울,2,1,0,71774,0,0,0,1,0,0,0,71774
1012,55,4,서울,6,1,0,0,74968,0,0,0,1,0,0,74968
1013,62,4,부산,6,1,0,0,0,81841,0,1,0,0,0,81841
1014,35,4,경기,6,1,0,0,0,94782,83804,0,2,0,0,178586
1015,48,4,경기,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,55,2,대구,5,0,5813,6459,0,0,0,2,0,0,0,12272
1017,60,2,서울,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,60,1,충북,1,0,0,171136,236924,4275,83410,0,0,7,0,495745
1019,50,4,대구,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1020,50,4,경기,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,50,4,부산,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,50,4,경남,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,50,2,경북,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024,60,1,전북,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025,60,2,서울,6,0,67067,68996,86768,88246,70757,5,0,0,0,381834
1026,60,4,인천,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,60,4,경기,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,59,4,서울,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,59,1,충북,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1030,59,4,경남,2,1,0,78758,0,290,290,0,0,3,0,79338
1031,59,4,서울,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1032,59,4,부산,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1033,59,4,부산,2,1,0,0,78758,0,0,1,0,0,0,78758
1034,59,4,경기,2,1,0,0,0,3094,0,1,0,0,0,3094
1035,59,4,서울,2,1,0,0,0,86084,0,1,0,0,0,86084
1036,59,3,경기,1,1,0,0,0,0,72597,1,0,0,0,72597
1037,59,3,울산,5,1,90930,0,0,0,0,1,0,0,0,90930
1038,59,4,충북,6,1,0,82531,8222,8222,0,0,2,1,0,98975
1039,49,4,서울,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040,59,1,광주,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1041,59,4,서울,1,1,72481,8854,8854,0,0,0,0,3,0,90189
1042,59,3,경기,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043,59,4,서울,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1044,59,4,경기,1,1,0,0,0,8045,0,1,0,0,0,8045
1045,59,4,경북,6,1,0,0,0,0,8045,1,0,0,0,8045
1046,59,4,부산,5,1,0,70581,79432,0,0,0,0,4,0,150013
1047,58,4,서울,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1048,58,4,충북,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049,58,2,경기,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,48,4,전북,1,1,0,0,0,84559,97835,2,0,0,0,182394
1051,58,3,경북,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1052,58,2,부산,2,0,101801,0,0,0,0,0,0,1,0,101801
1053,48,4,경기,1,1,0,101801,0,0,0,0,0,1,0,101801
1054,48,4,울산,6,1,0,0,90552,0,0,0,0,1,0,90552
1055,58,1,부산,6,0,0,0,0,91410,0,1,0,0,0,91410
1056,48,4,경기,1,1,0,11808,11808,0,76158,0,0,3,0,99774
1057,58,4,대구,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058,58,3,경기,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1059,58,4,경기,2,1,0,0,0,4173,0,1,0,0,0,4173
1060,58,4,광주,1,1,0,78879,8556,81488,75837,0,0,5,0,244760
1061,58,1,경북,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062,58,4,대구,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1063,58,4,부산,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064,58,4,인천,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065,58,1,전남,3,0,0,0,0,69361,0,1,0,0,0,69361
1066,58,4,서울,5,1,5332,12081,12081,81846,94845,0,0,6,0,206185
1067,58,1,충남,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1068,58,4,경기,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,58,1,충남,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1070,58,4,충남,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071,58,4,서울,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1072,57,4,서울,5,1,0,92786,0,0,0,1,0,0,0,92786
1073,57,4,인천,5,1,0,0,92786,0,0,1,0,0,0,92786
1074,57,4,경남,4,1,0,8054,0,0,0,1,0,0,0,8054
1075,57,1,강원,4,0,0,0,8054,0,0,1,0,0,0,8054
1076,57,4,인천,5,1,0,0,0,8054,0,1,0,0,0,8054
1077,57,4,경기,6,1,0,0,0,0,8054,1,0,0,0,8054
1078,57,4,경기,5,1,99274,9658,9658,0,0,0,0,3,0,118590
1079,57,2,서울,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1080,57,4,대전,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1081,57,4,전남,1,1,0,0,0,72970,0,1,0,0,0,72970
1082,57,2,경남,6,0,0,0,0,0,91711,0,0,1,0,91711
1083,57,4,경남,5,1,0,290,0,0,0,1,0,0,0,290
1084,47,4,인천,1,1,0,0,290,0,0,1,0,0,0,290
1085,57,4,서울,2,1,0,0,0,290,0,1,0,0,0,290
1086,57,2,서울,6,0,0,0,0,91539,0,1,0,0,0,91539
1087,57,1,충남,6,0,0,0,0,0,4982,1,0,0,0,4982
1088,57,3,경기,3,1,10476,0,0,0,0,1,0,0,0,10476
1089,57,4,울산,5,1,0,77044,0,0,0,0,0,1,0,77044
1090,57,4,경기,5,1,0,0,13146,0,0,1,0,0,0,13146
1091,57,4,경기,4,1,0,0,0,72532,0,1,0,0,0,72532
1092,57,2,서울,4,0,1904,0,0,0,0,0,0,1,0,1904
1093,57,2,경기,2,0,0,0,0,0,84320,0,0,1,0,84320
1094,57,4,인천,2,1,0,10442,0,0,0,1,0,0,0,10442
1095,57,4,경남,2,1,0,0,90500,0,0,0,0,1,0,90500
1096,57,4,울산,2,1,0,0,0,9573,0,1,0,0,0,9573
1097,57,1,경북,6,0,0,0,0,77117,0,1,0,0,0,77117
1098,57,4,충남,6,1,0,0,0,0,9573,1,0,0,0,9573
1099,57,4,경기,6,1,77117,0,0,0,0,1,0,0,0,77117
1100,57,4,충북,6,1,0,16434,0,0,0,0,0,1,0,16434
