id ,menu,count
2,우유,2
3,감자 ,4
4,달걀후라이,2
5,식빵,4
1,우유,3
2,감자 ,2
3,달걀후라이,4
4,식빵,2
5,치킨,4
1,감자 ,3
2,달걀후라이,2
3,식빵,4
4,치킨,2
5,우유,4
3,감자 ,4
4,달걀후라이,2
5,식빵,4
1,우유,3
2,감자 ,2
3,달걀후라이,4
4,식빵,2
5,치킨,4
1,달걀후라이,3
2,달걀후라이,2
3,감자 ,4
4,달걀후라이,2
5,식빵,4
1,우유,3
3,달걀후라이,4
5,식빵,4
1,우유,3
3,달걀후라이,4
5,식빵,4
1,우유,3
2,감자 ,2
3,달걀후라이,4
4,식빵,2
5,치킨,4
1,우유,3
2,감자 ,2
2,감자 ,2
3,달걀후라이,4
4,감자 ,2
5,치킨,4
1,감자 ,3
2,달걀후라이,2
3,감자 ,4
4,달걀후라이,2
5,식빵,4
1,우유,3
2,감자 ,2
6,식빵,4
1,우유,3
2,감자 ,2
3,달걀후라이,4
6,감자 ,2
7,감자 ,2
6,달걀후라이,3
3,달걀후라이,4
7,우유,1
6,달걀후라이,3
