resident,gender,job,age,position,price,survey,price2,price3,resident2,job2,age2,position2,gender2,age3
1,1,1,26,4,5.1,5,5.1,5.1,1.서울특별시,공무원,청년층,4급,남자,1
2,1,2,54,1,4.2,4,4.2,4.2,2.인천광역시,회사원,중년층,1급,남자,2
4,2,NA,45,2,3.5,4,3.5,3.5,4.대구광역시,NA,중년층,2급,여자,2
5,1,3,62,1,5,5,5,5,5.시구군,개인사업,장년층,1급,남자,3
3,1,2,57,NA,5.4,4,5.4,5.4,3.대전광역시,회사원,장년층,NA,남자,3
2,2,1,36,3,4.1,2,4.1,4.1,2.인천광역시,공무원,중년층,3급,여자,2
2,1,2,37,3,4.9,3,4.9,4.9,2.인천광역시,회사원,중년층,3급,남자,2
5,2,NA,29,4,2.3,1,2.3,2.3,5.시구군,NA,청년층,4급,여자,1
3,1,3,35,4,4.2,3,4.2,4.2,3.대전광역시,개인사업,중년층,4급,남자,2
1,1,1,56,1,6.7,4,6.7,6.7,1.서울특별시,공무원,장년층,1급,남자,3
2,2,3,20,5,4.3,4,4.3,4.3,2.인천광역시,개인사업,청년층,5급,여자,1
1,1,1,49,2,5.7,4,5.7,5.7,1.서울특별시,공무원,중년층,2급,남자,2
3,1,2,49,2,4.6,5,4.6,4.6,3.대전광역시,회사원,중년층,2급,남자,2
2,1,3,49,2,5.1,4,5.1,5.1,2.인천광역시,개인사업,중년층,2급,남자,2
1,2,2,25,5,2.1,4,2.1,2.1,1.서울특별시,회사원,청년층,5급,여자,1
1,1,1,57,1,5.1,4,5.1,5.1,1.서울특별시,공무원,장년층,1급,남자,3
1,1,NA,56,1,6.2,4,6.2,6.2,1.서울특별시,NA,장년층,1급,남자,3
1,1,3,21,5,5.1,4,5.1,5.1,1.서울특별시,개인사업,청년층,5급,남자,1
2,1,1,69,1,4.1,5,4.1,4.1,2.인천광역시,공무원,장년층,1급,남자,3
1,1,2,63,1,4.1,4,4.1,4.1,1.서울특별시,회사원,장년층,1급,남자,3
2,2,3,34,4,2.3,3,2.3,2.3,2.인천광역시,개인사업,중년층,4급,여자,2
1,1,1,26,4,5,3,5,5,1.서울특별시,공무원,청년층,4급,남자,1
