지역명,LAT,LON,총인구수,남자인구수,여자인구수,세대수
서울특별시  ,37.5651,126.98955,"9,766,288","4,772,822","4,993,466","4,271,551"
부산광역시  ,35.162766,129.044678,"3,438,259","1,690,527","1,747,732","1,481,315"
대구광역시  ,35.87975,128.5667,"2,460,382","1,218,478","1,241,904","1,022,727"
인천광역시  ,37.456223,126.705173,"2,955,916","1,482,441","1,473,475","1,216,126"
광주광역시  ,35.160077,126.851467,"1,459,832","722,902","736,930","604,691"
대전광역시  ,36.3731,127.3888,"1,488,725","743,851","744,874","626,103"
울산광역시  ,35.538735,129.31138,"1,154,786","593,436","561,350","462,218"
세종특별자치시,36.480862,127.290757,316814,"158,090","158,724","124,840"
경기도  ,37.421845,127.529308,"13,090,648","6,584,729","6,505,919","5,320,873"
강원도  ,37.8665202,128.2039048,"1,541,693","775,683","766,010","707,665"
충청북도  ,36.6374037,127.49137,"1,599,155","809,020","790,135","708,227"
충청남도  ,36.5212735,126.7988864,"2,125,797","1,081,976","1,043,821","945,151"
전라북도  ,35.821001,127.11138,"1,834,532","912,117","922,415","806,761"
전라남도  ,34.816206,126.462924,"1,878,904","941,188","937,716","860,049"
경상북도  ,36.3565811,128.6892794,"2,674,005","1,345,392","1,328,613","1,208,140"
경상남도  ,35.2210614,128.3910462,"3,373,214","1,697,053","1,676,161","1,427,348"
제주특별자치도  ,33.489013,126.49834,"667,337","335,813","331,524","287,576"
전체,,,"51,826,287","25,865,518","25,960,769","22,081,361"
