Date,Open,High,Low,Close,Volume
30-Oct-15,1345000,1390000,1341000,1372000,498776
29-Oct-15,1330000,1392000,1324000,1325000,622336
28-Oct-15,1294000,1308000,1291000,1308000,257374
27-Oct-15,1282000,1299000,1281000,1298000,131144
26-Oct-15,1298000,1298000,1272000,1292000,151996
23-Oct-15,1300000,1300000,1278000,1289000,252105
22-Oct-15,1280000,1295000,1269000,1280000,229326
21-Oct-15,1265000,1282000,1259000,1270000,138655
20-Oct-15,1260000,1273000,1256000,1266000,137788
19-Oct-15,1257000,1265000,1249000,1256000,116290
16-Oct-15,1265000,1269000,1259000,1265000,141898
15-Oct-15,1244000,1282000,1243000,1269000,243476
14-Oct-15,1248000,1260000,1237000,1254000,174719
13-Oct-15,1260000,1272000,1248000,1252000,195273
12-Oct-15,1260000,1263000,1247000,1260000,301807
08-Oct-15,1250000,1279000,1250000,1270000,500566
07-Oct-15,1198000,1252000,1186000,1251000,795678
06-Oct-15,1130000,1155000,1127000,1151000,371835
05-Oct-15,1119000,1131000,1115000,1115000,210583
02-Oct-15,1112000,1133000,1112000,1119000,247859
01-Oct-15,1140000,1145000,1121000,1134000,229173
30-Sep-15,1100000,1134000,1090000,1134000,354069
25-Sep-15,1120000,1125000,1109000,1112000,187315
24-Sep-15,1126000,1135000,1125000,1126000,131384
23-Sep-15,1144000,1144000,1125000,1131000,195174
22-Sep-15,1143000,1150000,1130000,1145000,246705
21-Sep-15,1163000,1173000,1150000,1150000,196809
18-Sep-15,1145000,1192000,1135000,1190000,421097
17-Sep-15,1153000,1157000,1144000,1157000,253091
16-Sep-15,1121000,1157000,1121000,1152000,338783
15-Sep-15,1114000,1128000,1113000,1123000,212880
14-Sep-15,1120000,1124000,1110000,1124000,164129
11-Sep-15,1126000,1133000,1115000,1115000,201720
10-Sep-15,1130000,1139000,1118000,1134000,356879
09-Sep-15,1146000,1147000,1136000,1147000,235189
08-Sep-15,1113000,1136000,1106000,1131000,181352
07-Sep-15,1129000,1129000,1105000,1112000,190922
04-Sep-15,1144000,1144000,1118000,1129000,249642
