sid,score,iq,academy,game,tv
10001,90,140,2,1,0
10002,75,125,1,3,3
10003,77,120,1,0,4
10004,83,135,2,3,2
10005,65,105,0,4,4
10006,80,123,3,1,1
10007,83,132,3,4,1
10008,70,115,1,1,3
10009,87,128,4,0,0
10010,79,131,2,2,3
10011,75,125,1,3,3
10012,77,120,1,0,4
10013,83,135,2,3,2
10014,65,105,0,4,4
10015,80,123,3,1,1
10016,65,105,0,4,4
10017,80,123,3,1,1
10018,83,132,3,4,1
10019,70,115,1,1,3
10020,87,128,4,0,0
10021,79,131,2,2,3
10022,75,125,1,3,3
10023,80,123,3,1,1
10024,83,132,3,4,1
10025,70,115,1,1,3
10026,87,128,4,0,0
10027,79,131,2,2,3
10028,75,125,1,3,3
10029,77,120,1,0,4
10030,83,135,2,3,2
10031,65,105,0,4,4
10032,80,123,3,1,1
10033,65,105,0,4,4
10034,80,123,3,1,1
10035,83,132,3,4,1
10036,80,123,3,1,1
10037,83,132,3,4,1
10038,70,115,1,1,3
10039,87,128,4,0,0
10040,79,131,2,2,3
10041,75,125,1,3,3
10042,80,123,3,1,1
10043,83,132,3,4,1
10044,70,115,1,1,3
10045,87,128,4,0,0
10046,79,131,2,2,3
10047,75,125,1,3,3
10048,77,120,1,0,4
10049,83,135,2,3,2
10050,77,120,1,0,4
10051,83,135,2,3,2
10052,65,105,0,4,4
10053,80,123,3,1,1
10054,83,132,3,4,1
10055,70,115,1,1,3
10056,87,128,4,0,0
10057,79,131,2,2,3
10058,75,125,1,3,3
10059,77,120,1,0,4
10060,83,135,2,3,2
10061,65,105,0,4,4
10062,80,123,3,1,1
10063,65,105,0,4,4
10064,80,123,3,1,1
10065,83,132,3,4,1
10066,70,115,1,1,3
10067,87,128,4,0,0
10068,79,131,2,2,3
10069,75,125,1,3,3
10070,83,132,3,4,1
10071,70,115,1,1,3
10072,87,128,4,0,0
10073,79,131,2,2,3
10074,75,125,1,3,3
10075,77,120,1,0,4
10076,83,135,2,3,2
10077,65,105,0,4,4
10078,80,123,3,1,1
10079,65,105,0,4,4
10080,80,123,3,1,1
10081,83,132,3,4,1
10082,80,123,3,1,1
10083,83,132,3,4,1
10084,70,115,1,1,3
10085,87,128,4,0,0
10086,79,131,2,2,3
10087,75,125,1,3,3
10088,80,123,3,1,1
10089,83,132,3,4,1
10090,70,115,1,1,3
10091,87,128,4,0,0
10092,79,131,2,2,3
10093,75,125,1,3,3
10094,83,132,3,4,1
10095,70,115,1,1,3
10096,87,128,4,0,0
10097,79,131,2,2,3
10098,75,125,1,3,3
10099,77,120,1,0,4
10100,83,135,2,3,2
10101,65,105,0,4,4
10102,80,123,3,1,1
10103,65,105,0,4,4
10104,80,123,3,1,1
10105,83,132,3,4,1
10106,70,115,1,1,3
10107,87,128,4,0,0
10108,79,131,2,2,3
10109,75,125,1,3,3
10110,83,132,3,4,1
10111,70,115,1,1,3
10112,87,128,4,0,0
10113,79,131,2,2,3
10114,75,125,1,3,3
10115,77,120,1,0,4
10116,83,135,2,3,2
10117,65,105,0,4,4
10118,80,123,3,1,1
10119,65,105,0,4,4
10120,80,123,3,1,1
10121,83,132,3,4,1
10122,80,123,3,1,1
10123,83,132,3,4,1
10124,70,115,1,1,3
10125,87,128,4,0,0
10126,79,131,2,2,3
10127,75,125,1,3,3
10128,80,123,3,1,1
10129,83,132,3,4,1
10130,70,115,1,1,3
10131,87,128,4,0,0
10132,79,131,2,2,3
10133,75,125,1,3,3
10134,77,120,1,0,4
10135,83,135,2,3,2
10136,77,120,1,0,4
10137,83,135,2,3,2
10138,65,105,0,4,4
10139,80,123,3,1,1
10140,83,132,3,4,1
10141,70,115,1,1,3
10142,87,128,4,0,0
10143,79,131,2,2,3
10144,75,125,1,3,3
10145,77,120,1,0,4
10146,83,135,2,3,2
10147,65,105,0,4,4
10148,80,123,3,1,1
10149,65,105,0,4,4
10150,83,135,2,3,2
