"CODE","INVEST_TOT","NOWAGE","REQ_H","REQ_M","REQ_EDU","REQ_R","REQ_ETC","FO_H","FO_M","FO_EDU","FO_R","FO_ETC"
"10556146",193,32,20,16,37,9,27,0.103626943005181,0.0864586262756171,0.193174936466831,0.0503171537125584,0.139896373056995
"97738039",57,45,29,0,54,-14,0,0.508771929824561,0,0.585607537361923,-0.245614035087719,0
"1807284",86,24,0,29,51,11,61,0,0.337209302325581,0.137919896640827,0.137919896640827,0.275839793281654
"14480743",208,51,50,31,0,19,193,0.240384615384615,0.149038461538462,0,0.0913461538461538,0.506885090218424
"31434597",86,46,0,14,31,-1,0,0,0.162790697674419,0.57100754137302,0.0162017609525612,0
"64422590",153,42,47,196,27,-3,82,0.30718954248366,0.395787944807553,0.158315177923021,-0.0196078431372549,0.158315177923021
"50175534",79,23,45,0,33,8,19,0.481481481481481,0,0.0802469135802469,0.0802469135802469,0.160493827160494
"21945261",239,28,78,178,27,7,0,0.326359832635983,0.51903507412573,0.112970711297071,0.0292887029288703,0
"64677531",231,46,187,0,50,25,5,0.616753959346552,0,0.176215416956158,0.108225108225108,0.0216450216450216
"82237392",94,54,153,38,31,34,30,0.388888888888889,0.277777777777778,0.111111111111111,0.111111111111111,0.111111111111111
"49818421",55,32,27,200,80,1,30,0.429545454545455,0.306818181818182,0.122727272727273,0.0181818181818182,0.122727272727273
"22093067",9,27,0,60,80,6,0,0,0.416666666666667,0.166666666666667,0.166666666666667,0
"44874921",153,33,65,77,49,3,33,0.428921568627451,0.306372549019608,0.122549019607843,0.0196078431372549,0.122549019607843
"18658630",179,52,0,44,105,-68,42,0,0.245810055865922,0.58659217877095,0.0163631974618941,3.02302391429167e-121
"70589537",74,37,78,84,64,26,38,0.388888888888889,0.277777777777778,0.111111111111111,0.111111111111111,0.111111111111111
"29518038",185,33,23,22,37,22,0,0.124324324324324,0.118918918918919,0.625492158825492,0.118918918918919,0
"7175223",275,21,13,36,330,10,0,0.0472727272727273,0.130909090909091,0.7731088664422,0.0363636363636364,0
"84202124",167,51,31,87,226,28,0,0.18562874251497,0.445569765818158,0.178227906327263,0.178227906327263,0
"76686369",127,42,187,0,0,-3,44,0.678523595044447,0,0,-0.0236220472440945,0.193863884298413
"79360238",175,27,0,0,67,7,0,0,0,0.355061728395062,0.04,0
"67159024",105,29,5,0,51,19,22,0.04806991211722,0,0.47674730572639,0.188498478805421,0.20952380952381
"86067601",123,23,70,0,52,5,34,0.507879152865603,0,0.0846465254776005,0.040650406504065,0.169293050955201
"79829420",129,26,0,22,36,16,0,0,0.170542635658915,0.455426356589147,0.124031007751938,0
"54249023",102,43,0,35,53,14,107,0,0.343137254901961,0.18418663761801,0.137254901960784,0.18418663761801
"83385907",167,49,0,14,0,13,0,0,0.0838323353293413,0,0.0778443113772455,0.464866563169956
"36075429",212,51,0,0,221,-48,66,0,0,0.580252106450881,-0.336017305612306,0.311320754716981
"15785490",107,48,83,6,35,-13,0,0.787897343755116,0.0560747663551402,0.298823638755385,-0.155141427877988,0
"80963539",194,25,0,0,27,3,0,0,0,0.139175257731959,0.0154639175257732,0.24042255313733
"4862247",241,51,153,26,64,-47,0,0.744647264958725,0.126541365287104,0.311486437629793,-0.195020746887967,0
"59067751",131,29,0,0,112,9,0,0,0,0.326359438318726,0.0687022900763359,0
"40296741",130,29,0,37,25,19,0,0,0.284615384615385,0.319230769230769,0.146153846153846,0
"38975417",99,43,0,31,55,5,0,0,0.313131313131313,0.386363636363636,0.0505050505050505,0
"75803507",157,40,53,61,51,24,25,0.337579617834395,0.301100173711639,0.120440069484655,0.120440069484655,0.120440069484655
"85620380",248,41,256,0,173,5,0,0.644469888048144,0,0.184134253728041,0.0201612903225806,0
"68637275",89,51,38,42,52,8,256,0.388888888888889,0.277777777777778,0.111111111111111,0.111111111111111,0.111111111111111
"97708989",138,34,40,0,52,5,37,0.289855072463768,0,0.319934337499658,0.0388496834382315,0.274200412771182
"43634800",131,25,102,0,38,14,0,0.577029602404214,0,0.164865600686918,0.106870229007634,0
"30720480",203,30,88,17,112,19,30,0.435585090042389,0.0841471196672797,0.235838596500998,0.0966459425578061,0.147783251231527
"79704394",188,23,55,47,82,3,100,0.292553191489362,0.25,0.147163120567376,0.0159574468085106,0.294326241134752
"71503958",23,48,0,197,64,18,0,0,0.416666666666667,0.166666666666667,0.166666666666667,0
"24213854",164,49,63,375,31,21,0,0.384146341463415,0.3352822108468,0.13411288433872,0.13411288433872,0
"19974587",176,21,41,0,63,3,0,0.232954545454545,0,0.441358024691358,0.0170454545454545,0
"46425478",97,31,21,0,36,16,23,0.216494845360825,0,0.286920664498162,0.182310594251998,0.237113402061856
"35869126",140,28,20,142,53,18,35,0.142857142857143,0.402197802197802,0.160879120879121,0.128571428571429,0.160879120879121
"79751425",131,42,23,33,31,-12,43,0.175572519083969,0.251908396946565,0.236641221374046,0.00763358778626005,0.32824427480916
"56013427",236,40,0,0,46,1,0,0,0,0.194915254237288,0.00423728813559322,0.19590918602218
"6020001",284,24,23,0,27,5,18,0.0809859154929577,0,0.640497304816554,0.0176056338028169,0.0633802816901408
